Street,From,To,latlngfrom,latlngto,latlng,lat,lng
Mission Street,25th Street,26th Street,"[37.7506482, -122.4183159]","[37.749044, -122.4181659]","[37.749846099999999, -122.4182409]",37.7498461,-122.4182409
Polk Street,Ellis Street,Olive Street,"[37.7840397, -122.4193807]","[37.784507, -122.4194781]","[37.784273349999999, -122.41942940000001]",37.78427335,-122.41942940000001
Van Ness Avenue,Geary Boulevard,Myrtle Street,"[37.7856601, -122.4214764]","[37.785221, -122.4213855]","[37.785440550000004, -122.42143095]",37.785440550000004,-122.42143095
Van Ness Avenue,Bush Street,Fern Street,"[37.7884986, -122.4218922]","[37.7880441, -122.4218018]","[37.788271350000002, -122.421847]",37.78827135,-122.421847
Van Ness Avenue,Daniel Burnham Court,Post Street,"[37.7870844, -122.4217571]","[37.7866423, -122.4215171]","[37.786863349999997, -122.4216371]",37.78686335,-122.4216371
Larkin Street,Cedar Street,Post Street,"[37.7865918, -122.418214]","[37.7870509, -122.4183057]","[37.786821349999997, -122.41825985]",37.78682135,-122.41825985
Pine Street,Larkin Street,Polk Street,"[37.7898426, -122.4188741]","[37.7896366, -122.4205069]","[37.789739600000004, -122.4196905]",37.789739600000004,-122.4196905
Pine Street,Polk Street,Van Ness Avenue,"[37.7896366, -122.4205069]","[37.7894225, -122.4220832]","[37.789529549999997, -122.42129505]",37.78952955,-122.42129505
Larkin Street,Myrtle Street,Geary Street,"[37.7856499, -122.4180244]","[37.786119, -122.4181182]","[37.785884449999998, -122.41807129999999]",37.78588445,-122.4180713
Van Ness Avenue,Van Ness Avenue,Bush Street,,"[37.7884986, -122.4218922]","[37.7884986, -122.4218922]",37.7884986,-122.4218922
Larkin Street,Sutter Street,Larkin Street,"[37.7879799, -122.4184982]",,"[37.7879799, -122.4184982]",37.7879799,-122.4184982
Larkin Street,McAllister Street,Fulton Street,"[37.78049559999999, -122.4170084]","[37.779594, -122.4168277]","[37.780044799999999, -122.41691804999999]",37.7800448,-122.41691804999999
23rd Street,Mission Street,Bartlett Street,"[37.7538455, -122.4186194]","[37.7537794, -122.4197291]","[37.753812449999998, -122.41917425]",37.75381245,-122.41917425
23rd Street,Bartlett Street,Valencia Street,"[37.7537794, -122.4197291]","[37.7537066, -122.4208358]","[37.753743, -122.42028245]",37.753743,-122.42028245
23rd Street,South Van Ness Avenue,Capp Street,"[37.753976, -122.4164407]","[37.7539117, -122.4175294]","[37.753943849999999, -122.41698504999999]",37.75394385,-122.41698505
23rd Street,Mission Street,Capp Street,"[37.7538455, -122.4186194]","[37.7539117, -122.4175294]","[37.7538786, -122.41807439999999]",37.7538786,-122.4180744
Bryant Street,Mariposa Street,17th Street,"[37.7630423, -122.4102673]","[37.7643177, -122.4103838]","[37.763680000000001, -122.41032555000001]",37.76368,-122.41032555000001
Van Ness Avenue,Post Street,Hemlock Street,"[37.7866423, -122.4215171]","[37.7871072, -122.421611]","[37.786874749999996, -122.42156405]",37.786874749999996,-122.42156405
Jessie Street,New Montgomery Street,Annie Street,"[37.787909, -122.4010664]","[37.7872887, -122.401856]","[37.787598849999995, -122.4014612]",37.787598849999995,-122.4014612
Van Ness Avenue,Bush Street,Austin Street,"[37.7884986, -122.4218922]","[37.7889621, -122.4219902]","[37.788730349999994, -122.42194119999999]",37.788730349999994,-122.42194119999999
Van Ness Avenue,Clay Street,Washington Street,"[37.7921793, -122.4227822]","[37.7930755, -122.422808]","[37.792627400000001, -122.4227951]",37.7926274,-122.4227951
Van Ness Avenue,O'Farrell Street,Alice B. Toklas Place,"[37.7847623, -122.4212963]","[37.7852444, -122.4212351]","[37.785003349999997, -122.42126569999999]",37.78500335,-122.42126569999999
Kearny Street,Geary Street,Maiden Lane,"[37.7879767, -122.4035082]","[37.7884376, -122.4035956]","[37.788207150000005, -122.4035519]",37.788207150000005,-122.4035519
Kearny Street,Kearny Street,Post Street,,"[37.7889065, -122.4036866]","[37.7889065, -122.4036866]",37.7889065,-122.4036866
Polk Street,Clay Street,Washington Street,"[37.7923909, -122.4210761]","[37.7932722, -122.4212389]","[37.792831550000002, -122.42115749999999]",37.79283155,-122.42115749999999
Polk Street,Jackson Street,Washington Street,"[37.7941507, -122.4214163]","[37.7932722, -122.4212389]","[37.793711450000004, -122.42132760000001]",37.79371145,-122.42132760000001
Post Street,Kearny Street,Post Street,"[37.7889065, -122.4036866]",,"[37.7889065, -122.4036866]",37.7889065,-122.4036866
Van Ness Avenue,Pacific Avenue,Broadway,"[37.79482429999999, -122.4231804]","[37.7957551, -122.4233565]","[37.795289699999998, -122.42326844999999]",37.7952897,-122.42326845
Washington Street,Van Ness Avenue,Polk Street,"[37.7930755, -122.422808]","[37.7932722, -122.4212389]","[37.793173850000002, -122.42202345000001]",37.79317385,-122.42202345000001
Washington Street,Polk Street,Larkin Street,"[37.7932722, -122.4212389]","[37.7934841, -122.419605]","[37.793378149999995, -122.42042195000001]",37.793378149999995,-122.42042195
Jackson Street,Polk Street,Van Ness Avenue,"[37.7941507, -122.4214163]","[37.7939555, -122.4229958]","[37.794053099999999, -122.42220605]",37.7940531,-122.42220605
Polk Street,Bonita Street,Vallejo Street,"[37.7973874, -122.4220709]","[37.7969013, -122.4219788]","[37.797144349999996, -122.42202485]",37.797144349999996,-122.42202485
Polk Street,Bonita Street,Green Street,"[37.7973874, -122.4220709]","[37.7978373, -122.4221651]","[37.797612349999994, -122.422118]",37.797612349999994,-122.422118
Bush Street,Taylor Street,Mason Street,"[37.7897577, -122.412102]","[37.7899599, -122.4104554]","[37.789858800000005, -122.4112787]",37.789858800000005,-122.4112787
Mission Street,Julia Street,Angelo's Alley,"[37.778053, -122.4124236]","[37.77813, -122.4123278]","[37.778091500000002, -122.4123757]",37.7780915,-122.4123757
Mission Street,6th Street,7th Street,"[37.7809745, -122.4087337]","[37.7792143, -122.4109628]","[37.780094399999996, -122.40984825]",37.780094399999996,-122.40984825
Van Ness Avenue,Van Ness Avenue,Eddy Street,,"[37.7829102, -122.4207636]","[37.7829102, -122.4207636]",37.7829102,-122.4207636
Van Ness Avenue,Van Ness Avenue,Turk Street,,"[37.7819764, -122.4205794]","[37.7819764, -122.4205794]",37.7819764,-122.4205794
Van Ness Avenue,Van Ness Avenue,Grove Street,,"[37.7782787, -122.4198293]","[37.7782787, -122.4198293]",37.7782787,-122.4198293
Van Ness Avenue,McAllister Street,Van Ness Avenue,"[37.7800953, -122.4201902]",,"[37.7800953, -122.4201902]",37.7800953,-122.4201902
