Street,From,To,Date,Time,Real.Spots,Street.Length,any_spot
Mission Street,25th Street,26th Street,1/7/2014,16:19,4,179.13297,1
Polk Street,Ellis Street,Olive Street,1/18/2014,20:42,0,52.74021,0
Van Ness Avenue,Geary Boulevard,Myrtle Street,1/18/2014,20:39,0,52.51784,0
Van Ness Avenue,Bush Street,Fern Street,1/18/2014,20:38,0,52.405315,0
Van Ness Avenue,Daniel Burnham Court,Post Street,1/18/2014,20:38,0,52.191193,0
Larkin Street,Cedar Street,Post Street,1/18/2014,20:20,0,52.32425,0
Pine Street,Larkin Street,Polk Street,1/18/2014,20:21,0,146.41655,0
Pine Street,Polk Street,Van Ness Avenue,1/18/2014,20:22,0,139.4942,0
Larkin Street,Myrtle Street,Geary Street,1/18/2014,20:20,0,52.188343,0
Van Ness Avenue,Van Ness Avenue,Bush Street,1/18/2014,20:37,0,39.027992,0
Larkin Street,Sutter Street,Larkin Street,1/18/2014,20:20,0,48.555763,0
Larkin Street,McAllister Street,Fulton Street,1/19/2014,18:21,0,102.83145,0
23rd Street,Mission Street,Bartlett Street,1/20/2014,19:31,8,96.03711,1
23rd Street,Bartlett Street,Valencia Street,1/20/2014,19:31,1,97.607445,1
23rd Street,South Van Ness Avenue,Capp Street,1/20/2014,17:36,269,96.3013,1
23rd Street,South Van Ness Avenue,Capp Street,1/20/2014,19:29,12,96.3013,1
23rd Street,Mission Street,Capp Street,1/20/2014,19:30,0,96.04013,0
Bryant Street,Mariposa Street,17th Street,1/20/2014,7:34,6,141.70232,1
Bryant Street,Mariposa Street,17th Street,1/20/2014,16:46,6,141.70232,1
Mission Street,25th Street,26th Street,1/20/2014,8:50,17,179.13297,1
Mission Street,25th Street,26th Street,1/20/2014,13:57,0,179.13297,0
Mission Street,25th Street,26th Street,1/20/2014,17:54,7,179.13297,1
23rd Street,Mission Street,Bartlett Street,1/21/2014,7:42,0,96.03711,0
23rd Street,Mission Street,Bartlett Street,1/21/2014,17:35,1,96.03711,1
23rd Street,Mission Street,Bartlett Street,1/21/2014,19:25,0,96.03711,0
